Obs_ID,Respondent_ID,Market,Actor_type,Species_code,Side,Price_BDT_kg,Fence_low,Fence_high,Direction
PO-0033,M1-B-01,M1,Bepari_Faria,S07,sell,435.42,438.77,465.57,low
PO-0056,M1-B-05,M1,Bepari_Faria,S07,buy,368.44,377.64,424.54,low
PO-0056,M1-B-05,M1,Bepari_Faria,S07,sell,408.63,438.77,465.57,low
PO-0057,M1-R-01,M1,Khuchra,S01,buy,1030.0,1033.12,1418.12,low
PO-0059,M1-R-01,M1,Khuchra,S04,buy,700.0,706.25,836.25,low
PO-0061,M1-R-01,M1,Khuchra,S06,sell,405.0,407.5,507.5,low
PO-0064,M1-R-02,M1,Khuchra,S01,buy,1005.0,1033.12,1418.12,low
PO-0066,M1-R-02,M1,Khuchra,S06,sell,395.0,407.5,507.5,low
PO-0075,M1-R-04,M1,Khuchra,S02,buy,1145.0,1191.25,1451.25,low
PO-0119,M2-B-02,M2,Bepari_Faria,S07,sell,475.62,438.77,465.57,high
PO-0124,M2-B-03,M2,Bepari_Faria,S07,buy,435.42,377.64,424.54,high
PO-0179,M3-A-04,M3,Aratdar,S04,buy,716.77,633.03,713.43,high
PO-0327,M5-A-03,M5,Aratdar,S04,buy,736.87,633.03,713.43,high
PO-0327,M5-A-03,M5,Aratdar,S04,sell,763.67,649.79,756.97,high
PO-0371,M5-R-03,M5,Khuchra,S02,buy,1465.0,1191.25,1451.25,high
PO-0381,M5-R-05,M5,Khuchra,S01,sell,1668.01,1346.25,1616.25,high
PO-0458,M6-R-05,M6,Khuchra,S02,buy,1185.0,1191.25,1451.25,low
