Obs_ID,Respondent_ID,Market,Actor_type,Species_code,Unit,Pair_ID,Buy_status,Buy_BDT_kg,Buy_outlier_flag,Sell_status,Sell_BDT_kg,Sell_outlier_flag,Quantity_kg
PO-0001,M1-A-01,M1,Aratdar,S01,Maund,,value,984.73,,value,1031.62,,134.35
PO-0002,M1-A-01,M1,Aratdar,S02,Maund,,value,1152.2,,value,1205.79,,149.28
PO-0003,M1-A-01,M1,Aratdar,S05,Maund,,value,395.23,,value,415.33,,97.03
PO-0004,M1-A-01,M1,Aratdar,S06,Maund,PAIR-M1-02,value,328.24,,value,348.34,,138.08
PO-0005,M1-A-01,M1,Aratdar,S09,Maund,,value,198.29,,value,206.32,,111.96
PO-0006,M1-A-01,M1,Aratdar,S07,,,K,,,K,,,
PO-0007,M1-A-01,M1,Aratdar,S03,,,K,,,K,,,
PO-0008,M1-A-02,M1,Aratdar,S01,Maund,,value,1011.52,,value,1058.41,,134.35
PO-0009,M1-A-02,M1,Aratdar,S03,Maund,,value,756.97,,value,797.16,,171.67
PO-0010,M1-A-02,M1,Aratdar,S04,Maund,,value,643.09,,value,663.18,,123.16
PO-0011,M1-A-02,M1,Aratdar,S05,Maund,,value,401.93,,value,415.33,,108.23
PO-0012,M1-A-02,M1,Aratdar,S06,Maund,,value,314.84,,value,321.54,,119.42
PO-0013,M1-A-02,M1,Aratdar,S02,,,K,,,K,,,
PO-0014,M1-A-02,M1,Aratdar,S09,,,K,,,K,,,
PO-0015,M1-A-03,M1,Aratdar,S01,Maund,,value,991.43,,value,1018.22,,89.57
PO-0016,M1-A-03,M1,Aratdar,S02,Maund,,value,1091.91,,value,1125.4,,67.18
PO-0017,M1-A-03,M1,Aratdar,S04,Maund,,value,663.18,,value,696.68,,141.82
PO-0018,M1-A-03,M1,Aratdar,S05,Maund,,value,415.33,,value,435.42,,93.3
PO-0019,M1-A-03,M1,Aratdar,S08,Maund,,value,257.23,,value,267.95,,70.91
PO-0020,M1-A-04,M1,Aratdar,S01,Maund,,value,991.43,,value,1051.71,,82.1
PO-0021,M1-A-04,M1,Aratdar,S02,Maund,,value,1185.69,,value,1252.68,,85.84
PO-0022,M1-A-04,M1,Aratdar,S03,Maund,,value,783.76,,value,823.95,,89.57
PO-0023,M1-A-04,M1,Aratdar,S06,Maund,,value,321.54,,value,341.64,,67.18
PO-0024,M1-A-04,M1,Aratdar,S07,Maund,,value,368.44,,value,388.53,,52.25
PO-0025,M1-A-05,M1,Aratdar,S01,Maund,,value,1078.51,,value,1118.7,,238.85
PO-0026,M1-A-05,M1,Aratdar,S02,Maund,,value,1085.21,,value,1138.8,,182.87
PO-0027,M1-A-05,M1,Aratdar,S03,Maund,PAIR-M1-01,value,750.27,,value,783.76,,223.92
PO-0028,M1-A-05,M1,Aratdar,S05,Maund,,value,408.63,,value,428.72,,167.94
PO-0029,M1-A-05,M1,Aratdar,S06,Maund,,value,314.84,,value,328.24,,201.53
PO-0030,M1-B-01,M1,Bepari_Faria,S05,Maund,,value,435.42,,value,462.22,,41.05
PO-0031,M1-B-01,M1,Bepari_Faria,S07,Maund,,value,368.44,,value,415.33,,48.52
PO-0032,M1-B-01,M1,Bepari_Faria,S08,Maund,,value,249.2,,value,274.65,,44.78
PO-0033,M1-B-01,M1,Bepari_Faria,S09,Maund,,value,206.32,,value,227.76,,33.59
PO-0034,M1-B-01,M1,Bepari_Faria,S03,,,K,,,K,,,
PO-0035,M1-B-01,M1,Bepari_Faria,S02,,,K,,,K,,,
PO-0036,M1-B-02,M1,Bepari_Faria,S04,Maund,,value,643.09,,value,696.68,,70.91
PO-0037,M1-B-02,M1,Bepari_Faria,S05,Maund,,value,408.63,,value,462.22,,63.44
PO-0038,M1-B-02,M1,Bepari_Faria,S06,Maund,,value,334.94,,value,361.74,,29.86
PO-0039,M1-B-02,M1,Bepari_Faria,S08,Maund,,value,241.16,,value,262.59,,37.32
PO-0040,M1-B-02,M1,Bepari_Faria,S09,Maund,,value,192.93,,value,209.0,,41.05
PO-0041,M1-B-03,M1,Bepari_Faria,S01,Maund,,value,1004.82,YES,value,1125.4,YES,37.32
PO-0042,M1-B-03,M1,Bepari_Faria,S05,Maund,,value,442.12,,value,468.92,,41.05
PO-0043,M1-B-03,M1,Bepari_Faria,S06,Maund,,value,348.34,,value,375.13,,33.59
PO-0044,M1-B-03,M1,Bepari_Faria,S07,Maund,,value,368.44,,value,401.93,,29.86
PO-0045,M1-B-03,M1,Bepari_Faria,S09,Maund,,value,203.64,,value,219.72,,26.12
PO-0046,M1-B-03,M1,Bepari_Faria,S08,,,K,,,K,,,
PO-0047,M1-B-03,M1,Bepari_Faria,S02,,,K,,,K,,,
PO-0048,M1-B-04,M1,Bepari_Faria,S01,Maund,,value,1038.32,,value,1132.1,YES,33.59
PO-0049,M1-B-04,M1,Bepari_Faria,S02,Maund,,value,1245.98,,value,1393.35,,29.86
PO-0050,M1-B-04,M1,Bepari_Faria,S05,Maund,,value,435.42,,value,489.01,,14.93
PO-0051,M1-B-04,M1,Bepari_Faria,S06,Maund,,value,334.94,,value,375.13,,29.86
PO-0052,M1-B-04,M1,Bepari_Faria,S07,Maund,,value,388.53,,value,428.72,,33.59
PO-0053,M1-B-05,M1,Bepari_Faria,S02,Maund,,value,1132.1,,value,1225.88,,26.12
PO-0054,M1-B-05,M1,Bepari_Faria,S03,Maund,,value,817.26,,value,890.94,,26.12
PO-0055,M1-B-05,M1,Bepari_Faria,S04,Maund,,value,676.58,,value,730.17,,29.86
PO-0056,M1-B-05,M1,Bepari_Faria,S05,Maund,,value,435.42,,value,482.32,,29.86
PO-0057,M1-B-05,M1,Bepari_Faria,S07,Maund,,value,375.13,,value,422.03,,22.39
PO-0058,M1-B-05,M1,Bepari_Faria,S06,,,K,,,K,,,
PO-0059,M1-B-05,M1,Bepari_Faria,S10,,,K,,,K,,,
PO-0060,M1-R-01,M1,Khuchra,S01,Kg,,value,1185.0,,value,1365.0,,15.0
PO-0061,M1-R-01,M1,Khuchra,S04,Kg,,value,740.0,,value,835.0,,10.0
PO-0062,M1-R-01,M1,Khuchra,S05,Kg,,value,470.0,,value,525.0,,10.0
PO-0063,M1-R-01,M1,Khuchra,S07,Kg,,value,435.0,,value,505.0,,5.0
PO-0064,M1-R-01,M1,Khuchra,S09,Kg,,value,225.0,,value,245.0,,10.0
PO-0065,M1-R-02,M1,Khuchra,S01,Kg,,value,1145.0,,value,1320.0,,20.0
PO-0066,M1-R-02,M1,Khuchra,S04,Kg,,value,720.0,,value,815.0,,20.0
PO-0067,M1-R-02,M1,Khuchra,S06,Kg,PAIR-M1-02,value,350.0,,value,430.0,,20.0
PO-0068,M1-R-02,M1,Khuchra,S07,Kg,,value,415.0,,value,475.0,,35.0
PO-0069,M1-R-02,M1,Khuchra,S09,Kg,,value,220.0,,value,240.0,,40.0
PO-0070,M1-R-03,M1,Khuchra,S01,Kg,,value,1130.0,,value,1270.0,,10.0
PO-0071,M1-R-03,M1,Khuchra,S02,Kg,,value,1355.0,,value,1575.0,,5.0
PO-0072,M1-R-03,M1,Khuchra,S04,Kg,,value,735.0,,K,,,5.0
PO-0073,M1-R-03,M1,Khuchra,S05,Kg,,value,485.0,,value,535.0,,10.0
PO-0074,M1-R-03,M1,Khuchra,S06,Kg,,value,365.0,,value,420.0,,5.0
PO-0075,M1-R-04,M1,Khuchra,S01,Kg,,value,1210.0,,value,1390.0,,15.0
PO-0076,M1-R-04,M1,Khuchra,S02,Kg,,value,1310.0,,value,1530.0,,25.0
PO-0077,M1-R-04,M1,Khuchra,S05,Kg,,value,475.0,,value,535.0,,15.0
PO-0078,M1-R-04,M1,Khuchra,S06,Kg,,value,360.0,,value,425.0,,25.0
PO-0079,M1-R-04,M1,Khuchra,S07,Kg,,value,410.0,,value,470.0,,30.0
PO-0080,M1-R-05,M1,Khuchra,S01,Maund,,value,1165.59,,value,1339.76,,14.93
