Species,Fishery Ghat,Chawkbazar,Kazir Dewri,Karnaphuli Complex,Bahaddarhat,Patenga
S01 Ilish,1520.0,1620.0,1644.0,1573.0,1745.0,1490.0
S02 Rupchanda,1515.0,1675.0,1720.0,1524.0,1641.0,1580.0
S03 Lakkha,1053.0,1074.0,1066.0,1065.0,1140.0,1033.0
S04 Koral/Kurl,880.0,917.0,955.0,946.0,904.0,880.0
S05 Surma,545.0,579.0,628.0,587.0,627.0,572.0
S06 Churi,431.0,465.0,459.0,438.0,443.0,450.0
S07 Poa,502.0,532.0,571.0,562.0,565.0,510.0
S08 Kankoita,330.0,340.0,355.0,355.0,338.0,327.0
S09 Loitta,258.0,268.0,268.0,265.0,280.0,256.0
S10 Harina,223.0,230.0,228.0,232.0,225.0,223.0
