Pair_ID,Market,Species_code,Seller_ID,Seller_actor,Seller_sell_BDT_kg,Buyer_ID,Buyer_actor,Buyer_buy_BDT_kg,Diff_BDT_kg,Complete
PAIR-M1-01,M1,S03,M1-A-05,Aratdar,783.76,M1-R-05,Khuchra,783.76,0.0,True
PAIR-M1-02,M1,S06,M1-A-01,Aratdar,348.34,M1-R-02,Khuchra,350.0,-1.66,True
PAIR-M2-01,M2,S03,M2-A-04,Aratdar,870.85,M2-R-03,Khuchra,870.85,0.0,True
PAIR-M2-02,M2,S01,M2-A-01,Aratdar,1205.79,M2-R-05,Khuchra,1205.79,0.0,True
PAIR-M2-03,M2,S05,M2-A-05,Aratdar,448.82,M2-R-01,Khuchra,450.0,-1.18,True
PAIR-M3-01,M3,S04,M3-A-02,Aratdar,756.97,M3-R-03,Khuchra,760.0,-3.03,True
PAIR-M3-02,M3,S02,M3-A-05,Aratdar,1299.57,M3-R-04,Khuchra,1300.0,-0.43,True
PAIR-M4-01,M4,S02,M4-A-01,Aratdar,1212.49,M4-R-01,Khuchra,1219.19,-6.7,True
PAIR-M4-02,M4,S06,,,,,,,,False
PAIR-M4-03,M4,S02,M4-A-02,Aratdar,1205.79,M4-R-02,Khuchra,1205.0,0.79,True
PAIR-M5-01,M5,S06,M5-A-03,Aratdar,361.74,M5-R-04,Khuchra,360.0,1.74,True
PAIR-M5-02,M5,S04,,,,,,,,False
PAIR-M5-03,M5,S05,M5-A-01,Aratdar,468.92,M5-R-01,Khuchra,465.0,3.92,True
PAIR-M6-01,M6,S03,M6-A-02,Aratdar,797.16,M6-R-01,Khuchra,795.0,2.16,True
PAIR-M6-02,M6,S04,M6-A-05,Aratdar,730.17,M6-R-04,Khuchra,730.0,0.17,True
