Market_i,Market_j,z,raw_p,p_holm,significant_0.05,Species
M5,M6,3.29,0.001,0.006,True,S01
M4,M5,-2.35,0.0188,0.0939,False,S01
M3,M6,2.037,0.0417,0.1667,False,S01
M3,M5,-1.354,0.1758,0.5275,False,S01
M3,M4,1.097,0.2728,0.5456,False,S01
M4,M6,0.879,0.3793,0.5456,False,S01
M2,M6,2.773,0.0056,0.0334,True,S03
M3,M6,2.065,0.0389,0.1946,False,S03
M1,M2,-1.997,0.0459,0.1946,False,S03
M1,M3,-1.323,0.1858,0.5574,False,S03
M1,M6,0.694,0.4877,0.9754,False,S03
M2,M3,0.667,0.5046,0.9754,False,S03
M3,M6,2.711,0.0067,0.0671,False,S05
M5,M6,2.625,0.0087,0.078,False,S05
M2,M3,-2.254,0.0242,0.1935,False,S05
M2,M5,-2.162,0.0306,0.2142,False,S05
M3,M4,1.506,0.132,0.7922,False,S05
M4,M5,-1.42,0.1556,0.7922,False,S05
M4,M6,1.205,0.2282,0.9129,False,S05
M2,M6,0.644,0.5195,1.0,False,S05
M2,M4,-0.644,0.5195,1.0,False,S05
M3,M5,0.086,0.9314,1.0,False,S05
M1,M2,-2.93,0.0034,0.0203,True,S06
M1,M3,-2.479,0.0132,0.0659,False,S06
M2,M5,1.634,0.1023,0.4092,False,S06
M3,M5,1.212,0.2254,0.6763,False,S06
M1,M5,-1.183,0.2367,0.6763,False,S06
M2,M3,0.422,0.6733,0.6763,False,S06
