Respondent_ID,Market,Mean_margin_BDT_kg,Buy_price_BDT_kg,Spoilage_loss_BDT_kg,MC_BDT_kg,Net_profit_BDT_kg,Net_profit_pct_of_margin
M1-R-01,M1,84.0,611.0,18.33,26.95,57.05,67.9
M1-R-02,M1,86.0,570.0,22.8,25.4,60.6,70.5
M1-R-03,M1,116.25,814.0,40.7,53.37,62.88,54.1
M1-R-04,M1,117.0,753.0,60.24,64.86,52.14,44.6
M1-R-05,M1,107.18,718.11,57.45,62.75,44.43,41.4
M2-R-01,M2,161.67,885.0,44.25,54.74,106.92,66.1
M2-R-02,M2,50.91,492.5,14.77,18.03,32.88,64.6
M2-R-03,M2,97.8,704.72,21.14,27.1,70.71,72.3
M2-R-04,M2,149.6,874.87,69.99,74.92,74.69,49.9
M2-R-05,M2,167.47,872.19,52.33,57.89,109.58,65.4
M3-R-01,M3,71.25,506.25,30.38,32.84,38.41,53.9
M3-R-02,M3,137.99,978.03,39.12,44.82,93.18,67.5
M3-R-03,M3,137.5,985.0,59.1,62.91,74.59,54.2
M3-R-04,M3,211.67,983.33,49.17,52.8,158.87,75.1
M3-R-05,M3,140.0,977.0,68.39,71.38,68.62,49.0
M4-R-01,M4,120.58,925.78,46.29,55.29,65.29,54.1
M4-R-02,M4,145.0,854.0,51.24,57.24,87.76,60.5
M4-R-03,M4,103.0,776.0,62.08,64.96,38.04,36.9
M4-R-04,M4,100.0,640.0,25.6,37.41,62.59,62.6
M4-R-05,M4,135.0,884.0,26.52,29.68,105.32,78.0
M5-R-01,M5,96.0,659.0,39.54,42.98,53.02,55.2
M5-R-02,M5,118.75,883.0,61.81,69.67,49.08,41.3
M5-R-03,M5,66.25,710.0,28.4,36.53,29.72,44.9
M5-R-04,M5,136.0,927.0,74.16,83.07,52.93,38.9
M5-R-05,M5,128.0,910.0,72.8,76.37,51.63,40.3
M6-R-01,M6,141.0,902.0,27.06,32.51,108.49,76.9
M6-R-02,M6,108.52,821.28,57.49,60.84,47.68,43.9
M6-R-03,M6,108.75,674.0,33.7,35.98,72.77,66.9
M6-R-04,M6,90.0,838.0,25.14,35.59,54.41,60.5
M6-R-05,M6,108.75,937.0,74.96,79.48,29.27,26.9
"Spearman rho(MC, net margin)",n=30,,,,-0.162,0.3932,
