Problem,Aratdar_n,Aratdar_pct,Bepari_n,Bepari_pct,Retailer_n,Retailer_pct,Total_n,Total_pct
Day-to-day price volatility,7,23.3,10,33.3,12,40.0,29,32.2
Low landings in lean season,9,30.0,8,26.7,9,30.0,26,28.9
Rising cost of ice and salt,8,26.7,10,33.3,8,26.7,26,28.9
High ice price,9,30.0,9,30.0,7,23.3,25,27.8
Waterlogging during monsoon,10,33.3,9,30.0,6,20.0,25,27.8
Transport cost increase,4,13.3,8,26.7,11,36.7,23,25.6
Delayed credit recovery,8,26.7,5,16.7,8,26.7,21,23.3
Rising toll and lease burden,5,16.7,9,30.0,6,20.0,20,22.2
Supply syndicate control,6,20.0,8,26.7,6,20.0,20,22.2
Unsold fish spoilage loss,9,30.0,3,10.0,8,26.7,20,22.2
Competition from frozen imported fish,11,36.7,2,6.7,5,16.7,18,20.0
Irregular electricity and load-shedding,4,13.3,9,30.0,4,13.3,17,18.9
