"Pair_ID","Market","Species_code","Seller_ID","Seller_actor","Seller_sell_BDT_kg","Buyer_ID","Buyer_actor","Buyer_buy_BDT_kg","Diff_BDT_kg","Complete"
"PAIR-M1-01","M1","S06","M1-A-04","Aratdar",328.24,"M1-R-03","Khuchra",330,-1.76,TRUE
"PAIR-M1-02","M1","S02","M1-A-05","Aratdar",1158.9,"M1-R-04","Khuchra",1160,-1.1,TRUE
"PAIR-M1-03","M1","S05","M1-A-01","Aratdar",408.63,"M1-R-01","Khuchra",410,-1.37,TRUE
"PAIR-M2-01","M2","S09","M2-A-03","Aratdar",203.64,"M2-R-03","Khuchra",205,-1.36,TRUE
"PAIR-M2-02","M2","S03","M2-A-04","Aratdar",783.76,"M2-R-02","Khuchra",785,-1.24,TRUE
"PAIR-M3-01","M3","S05","M3-A-04","Aratdar",462.22,"M3-R-03","Khuchra",460,2.22,TRUE
"PAIR-M3-02","M3","S01","M3-A-05","Aratdar",1232.58,"M3-R-05","Khuchra",1230,2.58,TRUE
"PAIR-M4-01","M4","S01","M4-A-05","Aratdar",1165.59,"M4-R-05","Khuchra",1165,0.59,TRUE
"PAIR-M4-02","M4","S08","M4-A-03","Aratdar",257.23,"M4-R-01","Khuchra",255,2.23,TRUE
"PAIR-M4-03","M4","S09","M4-A-02","Aratdar",198.29,"M4-R-04","Khuchra",200,-1.71,TRUE
"PAIR-M5-01","M5","S08","M5-A-05","Aratdar",254.56,"M5-R-01","Khuchra",255,-0.44,TRUE
"PAIR-M5-02","M5","S02","M5-A-04","Aratdar",1259.38,"M5-R-04","Khuchra",1260,-0.62,TRUE
"PAIR-M5-03","M5","S09","M5-A-03","Aratdar",209,"M5-R-03","Khuchra",210,-1,TRUE
"PAIR-M6-01","M6","S09","M6-A-05","Aratdar",192.93,"M6-R-04","Khuchra",195,-2.07,TRUE
"PAIR-M6-02","M6","S10","M6-A-03","Aratdar",168.81,"M6-R-05","Khuchra",170,-1.19,TRUE
