"Species","Market","Wholesale_sell_mean","n_wholesale","Retailer_sell_quote_mean","n_retailer","Consumer_paid_mean","n_consumer","Retail_margin_quote_BDT_kg","Retail_margin_paid_BDT_kg"
"S01","M1",1299.57,3,1520,2,,0,220.43,
"S01","M2",1373.26,2,1620,2,1630,1,246.74,256.74
"S01","M3",1391.12,3,1643.63,4,,0,252.51,
"S01","M4",1297.89,4,1573.04,3,1575,2,275.15,277.11
"S01","M5",1416.8,2,1745.49,4,1700,2,328.69,283.2
"S01","M6",1261.61,3,1490.15,3,1495,2,228.54,233.39
"S02","M1",1272.78,2,1515,3,,0,242.22,
"S02","M2",1400.05,1,1675,1,1660,1,274.95,259.95
"S02","M3",1424.61,3,1720,2,1690,1,295.39,265.39
"S02","M4",1342,3,1523.75,4,,0,181.75,
"S02","M5",1410.11,2,1641.44,3,1620,1,231.33,209.89
"S02","M6",1319.67,3,1580,2,,0,260.33,
"S03","M1",870.85,1,1053.33,3,1035,1,182.48,164.15
"S03","M2",890.94,3,1074,5,1060,1,183.06,169.06
"S03","M3",882.01,3,1066.25,4,,0,184.24,
"S03","M4",924.44,2,1065.11,1,1065,1,140.67,140.56
"S03","M5",937.84,5,1140,1,,0,202.16,
"S03","M6",877.55,2,1032.8,3,,0,155.25,
"S04","M1",723.47,2,880,1,860,1,156.53,136.53
"S04","M2",763.66,2,916.67,3,895,1,153.01,131.34
"S04","M3",830.65,1,955,1,,0,124.35,
"S04","M4",797.16,1,945.62,2,930,1,148.46,132.84
"S04","M5",770.37,2,904.34,1,,0,133.97,
"S04","M6",728.5,4,879.62,2,,0,151.12,
"S05","M1",467.25,4,545,1,546.67,3,77.75,79.42
"S05","M2",494.04,4,578.75,4,575,2,84.71,80.96
"S05","M3",509.11,3,628.33,3,611.67,3,119.22,102.56
"S05","M4",506.88,3,587.03,3,595,1,80.15,88.12
"S05","M5",539.25,2,627.1,3,610,1,87.85,70.75
"S05","M6",478.97,2,571.67,3,560,2,92.7,81.03
"S06","M1",370.67,3,431.25,4,415,1,60.58,44.33
"S06","M2",398.58,2,465,3,452.5,2,66.42,53.92
"S06","M3",379.6,3,459.07,3,461.67,3,79.47,82.07
"S06","M4",381.83,5,437.5,2,435,2,55.67,53.17
"S06","M5",388.53,3,443.08,3,445,1,54.55,56.47
"S06","M6",375.13,1,450,1,440,4,74.87,64.87
"S07","M1",424.26,3,502.5,2,500,1,78.24,75.74
"S07","M2",451.05,3,532.5,2,520,1,81.45,68.95
"S07","M3",475.62,2,571.4,2,570,1,95.78,94.38
"S07","M4",462.22,2,562.5,2,,0,100.28,
"S07","M5",455.52,2,565,2,,0,109.48,
"S07","M6",428.73,2,510,1,500,1,81.27,71.27
"S08","M1",274.65,1,330,1,332.5,2,55.35,57.85
"S08","M2",281.35,2,340,1,330,1,58.65,48.65
"S08","M3",308.15,2,355,1,,0,46.85,
"S08","M4",,0,355,2,,0,,
"S08","M5",,0,337.5,2,335,1,,
"S08","M6",291.4,2,326.62,2,330,1,35.22,38.6
"S09","M1",218.83,3,257.5,2,252.5,2,38.67,33.67
"S09","M2",226.42,2,267.5,2,265,2,41.08,38.58
"S09","M3",225.08,2,267.5,2,265,2,42.42,39.92
"S09","M4",222.4,2,265,2,260,1,42.6,37.6
"S09","M5",,0,280,1,,0,,
"S09","M6",222.4,3,256.25,4,250,2,33.85,27.6
"S10","M1",182.21,2,223.33,3,215,1,41.12,32.79
"S10","M2",194.27,2,230,2,225,1,35.73,30.73
"S10","M3",200.96,1,227.76,1,,0,26.8,
"S10","M4",195.61,1,232.5,2,230,1,36.89,34.39
"S10","M5",192.26,4,224.86,2,222.5,2,32.6,30.24
"S10","M6",187.57,2,223.33,3,,0,35.76,
