"Market_i","Market_j","z","raw_p","p_holm","significant_0.05","Species"
"M1","M5",-3.437,6e-04,0.0088,TRUE,"S01"
"M5","M6",2.716,0.0066,0.0924,FALSE,"S01"
"M1","M2",-1.987,0.0469,0.6094,FALSE,"S01"
"M1","M4",-1.789,0.0736,0.8829,FALSE,"S01"
"M1","M3",-1.769,0.0769,0.8829,FALSE,"S01"
"M4","M5",-1.75,0.0801,0.8829,FALSE,"S01"
"M2","M6",1.443,0.149,1,FALSE,"S01"
"M2","M5",-1.375,0.169,1,FALSE,"S01"
"M3","M5",-1.327,0.1844,1,FALSE,"S01"
"M3","M6",1.299,0.1938,1,FALSE,"S01"
"M4","M6",1.233,0.2175,1,FALSE,"S01"
"M1","M6",-0.316,0.7517,1,FALSE,"S01"
"M2","M4",0.3,0.7638,1,FALSE,"S01"
"M3","M4",0.22,0.8262,1,FALSE,"S01"
"M2","M3",0.054,0.9569,1,FALSE,"S01"
"M1","M3",-2.602,0.0093,0.0278,TRUE,"S04"
"M3","M6",2.191,0.0284,0.0569,FALSE,"S04"
"M1","M6",-0.709,0.4784,0.4784,FALSE,"S04"
"M1","M3",-2.682,0.0073,0.0731,FALSE,"S05"
"M1","M4",-2.604,0.0092,0.0829,FALSE,"S05"
"M1","M5",-2.459,0.0139,0.1114,FALSE,"S05"
"M3","M6",1.915,0.0555,0.3887,FALSE,"S05"
"M4","M6",1.73,0.0836,0.5018,FALSE,"S05"
"M5","M6",1.585,0.1129,0.5645,FALSE,"S05"
"M1","M6",-0.829,0.407,1,FALSE,"S05"
"M3","M5",0.546,0.5849,1,FALSE,"S05"
"M3","M4",0.413,0.6793,1,FALSE,"S05"
"M4","M5",0.153,0.878,1,FALSE,"S05"
"M4","M5",-2.593,0.0095,0.0572,FALSE,"S06"
"M2","M4",2.13,0.0332,0.1658,FALSE,"S06"
"M1","M5",-2.049,0.0405,0.1658,FALSE,"S06"
"M1","M2",-1.695,0.0901,0.2703,FALSE,"S06"
"M1","M4",0.318,0.7503,1,FALSE,"S06"
"M2","M5",-0.154,0.8779,1,FALSE,"S06"
