"Respondent_ID","Market","Mean_margin_BDT_kg","MC_BDT_kg","Net_profit_BDT_kg"
"M1-R-01","M1",187,6.69,180.31
"M1-R-02","M1",211,7.42,203.58
"M1-R-03","M1",237.5,1.93,235.57
"M1-R-04","M1",118,3.9,114.1
"M1-R-05","M1",110,6.43,103.57
"M2-R-01","M2",132,6.19,125.81
"M2-R-02","M2",189,6.02,182.98
"M2-R-03","M2",136,5.28,130.72
"M2-R-04","M2",223,4.24,218.76
"M2-R-05","M2",152,4.87,147.13
"M3-R-01","M3",259,2.92,256.08
"M3-R-02","M3",231.25,4.93,226.32
"M3-R-03","M3",157,16.38,140.62
"M3-R-04","M3",183.55,4.23,179.32
"M3-R-05","M3",200,4.39,195.61
"M4-R-01","M4",99,13.02,85.98
"M4-R-02","M4",294.75,4.25,290.49
"M4-R-03","M4",228,3.17,224.83
"M4-R-04","M4",151,10.2,140.8
"M4-R-05","M4",242.5,5.91,236.59
"M5-R-01","M5",252,4.82,247.18
"M5-R-02","M5",212.35,12.39,199.96
"M5-R-03","M5",185,4.05,180.95
"M5-R-04","M5",206.25,6.87,199.38
"M5-R-05","M5",264.6,13.51,251.09
"M6-R-01","M6",255,5.09,249.91
"M6-R-02","M6",258.91,5.22,253.69
"M6-R-03","M6",147,5.25,141.75
"M6-R-04","M6",115,8.75,106.25
"M6-R-05","M6",184,3.82,180.18
"Spearman rho(MC, net margin)","n=30",,-0.334,0.0709
