"Actor","Cost_item","Unit","n","Mean","SD","Note"
"Aratdar","Commission rate","% of lot value",16,3.34,1.06,"Percent-basis aratdars only"
"Aratdar","Arat/office rent (yearly payers)","BDT per year",18,184444.44,64986.17,""
"Aratdar","Arat/office rent (monthly payers)","BDT per month",12,19583.33,9440.8,""
"Aratdar","Electricity bill (monthly payers)","BDT per month",26,8330.77,3205.84,""
"Aratdar","Electricity bill (yearly payers)","BDT per year",4,9025,2223.17,""
"Aratdar","Workers employed","persons",30,5.37,2.47,"Own/family + hired"
"Aratdar","Worker daily wage","BDT per day",30,636.67,122.43,""
"Aratdar","Equipment & cooler maintenance (yearly)","BDT per year",16,6093.75,3045.32,""
"Aratdar","Other operating cost","BDT per period",30,1880,1172.21,"See Other_cost_description in Form A"
"Bepari/Faria","Transport fare per trip","BDT per trip",30,1636.67,821.89,""
"Bepari/Faria","Trips per period","trips",30,1.9,0.84,""
"Bepari/Faria","Loading/unloading cost","BDT per trip",30,258.33,119.69,""
"Bepari/Faria","Ice usage","kg per day",30,79.97,27.03,""
"Bepari/Faria","Ice cost","BDT per day",30,259.33,91.91,""
"Bepari/Faria","Commission paid to aratdar (percent basis)","% of lot",26,3.62,0.96,""
"Bepari/Faria","Commission paid to aratdar (flat basis)","BDT per lot",4,700,244.95,""
"Bepari/Faria","Transit damage/loss","% of lot",30,4.8,1.86,""
"Retailer","Shop/van rent","BDT per day",30,204.67,81.84,""
"Retailer","Ice cost","BDT per day",30,185.33,56.54,""
"Retailer","Washing, water & other","BDT per day",30,79.83,37.31,""
"Retailer","Spoilage/unsold loss","% of purchase",30,5.43,1.77,""
